#Dias 	 Celulas
0 	   4000000000.000000 
2 	   4080000000.000000 
4 	   4161600000.000000 
6 	   4244832000.000000 
8 	   4329728640.000000 
10 	   4416323212.800000 
12 	   4504649677.056001 
14 	   4594742670.597121 
16 	   4686637524.009064 
18 	   4780370274.489245 
20 	   4875977679.979031 
22 	   4973497233.578611 
24 	   5072967178.250184 
26 	   5174426521.815187 
28 	   5277915052.251492 
30 	   5383473353.296521 
32 	   5491142820.362452 
34 	   5600965676.769701 
36 	   5712984990.305095 
38 	   5827244690.111197 
40 	   5943789583.913421 
42 	   6062665375.591689 
44 	   6183918683.103523 
46 	   6307597056.765594 
48 	   6433748997.900906 
50 	   6562423977.858924 
52 	   6693672457.416102 
54 	   6827545906.564425 
56 	   6964096824.695713 
58 	   7103378761.189628 
60 	   7245446336.413421 
62 	   7390355263.141689 
64 	   7538162368.404523 
66 	   7688925615.772614 
68 	   7842704128.088066 
70 	   7999558210.649828 
72 	   8159549374.862824 
74 	   8322740362.360081 
76 	   8489195169.607283 
78 	   8658979072.999428 
80 	   8832158654.459417 
82 	   9008801827.548605 
84 	   9188977864.099577 
86 	   9372757421.381569 
88 	   9560212569.809200 
90 	   9751416821.205385 
92 	   9946445157.629494 
94 	   10145374060.782084 
96 	   10348281541.997725 
98 	   10555247172.837679 
100 	   10766352116.294434 
