#Dias 	 Celulas
0 	   4000000000.000000 
2 	   4081632653.061224 
4 	   4164931278.633903 
6 	   4249929876.157043 
8 	   4336663138.935759 
10 	   4425166468.301795 
12 	   4515475988.063056 
14 	   4607628559.248016 
16 	   4701661795.151037 
18 	   4797614076.684731 
20 	   4895524568.045645 
22 	   4995433232.699637 
24 	   5097380849.693508 
26 	   5201409030.299499 
28 	   5307560234.999489 
30 	   5415877790.815805 
32 	   5526405908.995720 
34 	   5639189703.056857 
36 	   5754275207.200874 
38 	   5871709395.102933 
40 	   5991540199.084625 
42 	   6113816529.678189 
44 	   6238588295.589990 
46 	   6365906424.071418 
48 	   6495822881.705528 
50 	   6628390695.617887 
52 	   6763663975.120293 
54 	   6901697933.796217 
56 	   7042548912.036956 
58 	   7186274400.037710 
60 	   7332933061.262970 
62 	   7482584756.390786 
64 	   7635290567.745700 
66 	   7791112824.230307 
68 	   7950115126.765619 
70 	   8112362374.250632 
72 	   8277920790.051665 
74 	   8446857949.032311 
76 	   8619242805.135012 
78 	   8795145719.525522 
80 	   8974638489.311758 
82 	   9157794376.848732 
84 	   9344688139.641563 
86 	   9535396060.858738 
88 	   9729995980.468100 
90 	   9928567327.008265 
92 	   10131191150.008434 
94 	   10337950153.069832 
96 	   10548928727.622278 
98 	   10764212987.369673 
100 	   10983890803.438442 
