#Dias 	 Celulas
0 	   4000000000.000000 
1 	   4040000000.000000 
2 	   4080400000.000000 
3 	   4121204000.000000 
4 	   4162416040.000000 
5 	   4204040200.400000 
6 	   4246080602.404000 
7 	   4288541408.428041 
8 	   4331426822.512321 
9 	   4374741090.737444 
10 	   4418488501.644818 
11 	   4462673386.661266 
12 	   4507300120.527879 
13 	   4552373121.733157 
14 	   4597896852.950489 
15 	   4643875821.479994 
16 	   4690314579.694794 
17 	   4737217725.491742 
18 	   4784589902.746659 
19 	   4832435801.774126 
20 	   4880760159.791867 
21 	   4929567761.389786 
22 	   4978863439.003684 
23 	   5028652073.393721 
24 	   5078938594.127658 
25 	   5129727980.068934 
26 	   5181025259.869624 
27 	   5232835512.468321 
28 	   5285163867.593004 
29 	   5338015506.268934 
30 	   5391395661.331624 
31 	   5445309617.944941 
32 	   5499762714.124390 
33 	   5554760341.265634 
34 	   5610307944.678290 
35 	   5666411024.125073 
36 	   5723075134.366324 
37 	   5780305885.709988 
38 	   5838108944.567087 
39 	   5896490034.012758 
40 	   5955454934.352886 
41 	   6015009483.696415 
42 	   6075159578.533380 
43 	   6135911174.318713 
44 	   6197270286.061900 
45 	   6259242988.922519 
46 	   6321835418.811744 
47 	   6385053772.999861 
48 	   6448904310.729859 
49 	   6513393353.837158 
50 	   6578527287.375530 
51 	   6644312560.249286 
52 	   6710755685.851779 
53 	   6777863242.710297 
54 	   6845641875.137400 
55 	   6914098293.888774 
56 	   6983239276.827662 
57 	   7053071669.595938 
58 	   7123602386.291897 
59 	   7194838410.154816 
60 	   7266786794.256364 
61 	   7339454662.198928 
62 	   7412849208.820917 
63 	   7486977700.909126 
64 	   7561847477.918218 
65 	   7637465952.697400 
66 	   7713840612.224374 
67 	   7790979018.346618 
68 	   7868888808.530084 
69 	   7947577696.615384 
70 	   8027053473.581538 
71 	   8107324008.317353 
72 	   8188397248.400527 
73 	   8270281220.884532 
74 	   8352984033.093377 
75 	   8436513873.424311 
76 	   8520879012.158554 
77 	   8606087802.280140 
78 	   8692148680.302942 
79 	   8779070167.105972 
80 	   8866860868.777033 
81 	   8955529477.464804 
82 	   9045084772.239452 
83 	   9135535619.961847 
84 	   9226890976.161467 
85 	   9319159885.923080 
86 	   9412351484.782310 
87 	   9506474999.630135 
88 	   9601539749.626436 
89 	   9697555147.122700 
90 	   9794530698.593927 
91 	   9892476005.579866 
92 	   9991400765.635666 
93 	   10091314773.292023 
94 	   10192227921.024942 
95 	   10294150200.235191 
96 	   10397091702.237543 
97 	   10501062619.259918 
98 	   10606073245.452517 
99 	   10712133977.907042 
100 	   10819255317.686111 
