#Dias 	 Celulas
0 	   4000000000.000000 
5 	   4210526315.789474 
10 	   4432132963.988919 
15 	   4665403119.988336 
20 	   4910950652.619301 
25 	   5169421739.599264 
30 	   5441496567.999225 
35 	   5727891124.209710 
40 	   6029359078.115484 
45 	   6346693766.437351 
50 	   6680730280.460369 
55 	   7032347663.642493 
60 	   7402471224.886834 
65 	   7792074973.565088 
70 	   8202184182.700092 
75 	   8633878087.052729 
80 	   9088292723.213398 
85 	   9566623919.171997 
90 	   10070130441.233681 
95 	   10600137306.561769 
100 	   11158039270.065020 
